cycle,range_bin,doppler_bin,output_hex
1098385000,0,0,ffa1fe75
1098395000,0,1,feec00ef
1098405000,0,2,00b5fd7c
1098415000,0,3,005b047e
1098425000,0,4,ffb5fc67
1098435000,0,5,ffee01a3
1098445000,0,6,ffb1fec7
1098455000,0,7,027c01a8
1098465000,0,8,fd90fe34
1098475000,0,9,001e00d9
1098485000,0,10,0090004a
1098495000,0,11,ff38ff6f
1098505000,0,12,007cffbe
1098515000,0,13,ff5f0056
1098525000,0,14,010fffd1
1098535000,0,15,feed0037
1098545000,0,16,0191febf
1098555000,0,17,fd2001ef
1098565000,0,18,01fbfffa
1098575000,0,19,ffedff30
1098585000,0,20,ff39008b
1098595000,0,21,00a8011b
1098605000,0,22,ffc9feb5
1098615000,0,23,ff900020
1098625000,0,24,0156fffc
1098635000,0,25,fff6ff7d
1098645000,0,26,ff880140
1098655000,0,27,001cfee7
1098665000,0,28,ff9e000c
1098675000,0,29,013300c8
1098685000,0,30,fe2ffec3
1098695000,0,31,018301bd
1103765000,1,0,0100007e
1103775000,1,1,00640058
1103785000,1,2,fddaff41
1103795000,1,3,02b000b8
1103805000,1,4,ff420018
1103815000,1,5,ffc7ff39
1103825000,1,6,ff5c0081
1103835000,1,7,0125fff1
1103845000,1,8,ffcc0071
1103855000,1,9,fe98ff37
1103865000,1,10,014a0043
1103875000,1,11,ffac0095
1103885000,1,12,00a6ffb6
1103895000,1,13,fde1ffa5
1103905000,1,14,01c9007c
1103915000,1,15,ff990027
1103925000,1,16,0158fee4
1103935000,1,17,fe9e00fa
1103945000,1,18,007200c1
1103955000,1,19,fffefef2
1103965000,1,20,ffc8ff62
1103975000,1,21,ffc701bb
1103985000,1,22,01bcff2f
1103995000,1,23,fe67ff0b
1104005000,1,24,006c00fd
1104015000,1,25,ffd6fd5f
1104025000,1,26,ffd6034b
1104035000,1,27,ffd2fe55
1104045000,1,28,008800a8
1104055000,1,29,ff81ffa7
1104065000,1,30,00db015c
1104075000,1,31,fe5ffe61
1109145000,2,0,008300fe
1109155000,2,1,ffbcff8f
1109165000,2,2,ff4400e6
1109175000,2,3,00c8ffd4
1109185000,2,4,ff63fef1
1109195000,2,5,ffe40122
1109205000,2,6,0005ff5c
1109215000,2,7,0195ffa8
1109225000,2,8,fce80157
1109235000,2,9,01f8ff22
1109245000,2,10,ff7effe7
1109255000,2,11,011b00c8
1109265000,2,12,fe86ffe2
1109275000,2,13,00a4001f
1109285000,2,14,00b00071
1109295000,2,15,ff3fff81
1109305000,2,16,019700ae
1109315000,2,17,fdfafd4f
1109325000,2,18,01a80234
1109335000,2,19,fe92ff4a
1109345000,2,20,0149ffd5
1109355000,2,21,ff76ffb0
1109365000,2,22,ff210078
1109375000,2,23,0153ff9c
1109385000,2,24,ffa2012d
1109395000,2,25,ff32fe04
1109405000,2,26,ff6e0347
1109415000,2,27,0163fd22
1109425000,2,28,feca0140
1109435000,2,29,012afee3
1109445000,2,30,00b2021b
1109455000,2,31,fef9fd9b
1114525000,3,0,ffc3fffb
1114535000,3,1,01a4ff94
1114545000,3,2,fdde00ae
1114555000,3,3,00f8fed0
1114565000,3,4,00470100
1114575000,3,5,0048ff6e
1114585000,3,6,fe4e0073
1114595000,3,7,019e004d
1114605000,3,8,ffcafdfa
1114615000,3,9,00270226
1114625000,3,10,ffa7fece
1114635000,3,11,002d0192
1114645000,3,12,0054fdda
1114655000,3,13,ffa001c4
1114665000,3,14,ff87febb
1114675000,3,15,013901cd
1114685000,3,16,fe91fd75
1114695000,3,17,0092009c
1114705000,3,18,0006005c
1114715000,3,19,00c2ffb0
1114725000,3,20,ff65ffbe
1114735000,3,21,fe6001ae
1114745000,3,22,025efe23
1114755000,3,23,fe4200ff
1114765000,3,24,01320026
1114775000,3,25,fe2fff6a
1114785000,3,26,0095000c
1114795000,3,27,0085019a
1114805000,3,28,ffc8fe90
1114815000,3,29,ff9c00e8
1114825000,3,30,02e5ff13
1114835000,3,31,fdbb00b3
1119905000,4,0,0033014f
1119915000,4,1,0097ff75
1119925000,4,2,fe54fff3
1119935000,4,3,021a0102
1119945000,4,4,ff38fe0b
1119955000,4,5,00220199
1119965000,4,6,ffbcff46
1119975000,4,7,013201d5
1119985000,4,8,fed7fc8e
1119995000,4,9,00b40337
1120005000,4,10,feb7fdfb
1120015000,4,11,00c100bc
1120025000,4,12,0012fe7e
1120035000,4,13,feff0157
1120045000,4,14,0073ffc8
1120055000,4,15,0061002c
1120065000,4,16,0037ff89
1120075000,4,17,fe710089
1120085000,4,18,01ac0057
1120095000,4,19,ff660000
1120105000,4,20,ff5a0083
1120115000,4,21,ffa4ffd9
1120125000,4,22,0204fecc
1120135000,4,23,ff72013f
1120145000,4,24,ff0fff7a
1120155000,4,25,00d8ff9f
1120165000,4,26,ff81005f
1120175000,4,27,00f7005a
1120185000,4,28,febcff6c
1120195000,4,29,019700f3
1120205000,4,30,ffc5003a
1120215000,4,31,fef3fe08
1125285000,5,0,ff1efe76
1125295000,5,1,ff7201cc
1125305000,5,2,ff9dfed6
1125315000,5,3,0201ff9d
1125325000,5,4,fe820103
1125335000,5,5,0073ff7c
1125345000,5,6,ffdaff5c
1125355000,5,7,00860120
1125365000,5,8,fffefea6
1125375000,5,9,fef600bf
1125385000,5,10,014efec9
1125395000,5,11,fef00273
1125405000,5,12,00f1fced
1125415000,5,13,fd9f021f
1125425000,5,14,01adff4b
1125435000,5,15,ff94009f
1125445000,5,16,0036fdfe
1125455000,5,17,fef202d4
1125465000,5,18,0111fe74
1125475000,5,19,feb30061
1125485000,5,20,0218007d
1125495000,5,21,fe470066
1125505000,5,22,014600b6
1125515000,5,23,ffa0feb2
1125525000,5,24,ff5eff6a
1125535000,5,25,009a0075
1125545000,5,26,00ec0175
1125555000,5,27,fe28fe73
1125565000,5,28,0145002f
1125575000,5,29,006b007b
1125585000,5,30,ff3bff9b
1125595000,5,31,015200bb
1130665000,6,0,fe49ffb1
1130675000,6,1,00e300f8
1130685000,6,2,febb004f
1130695000,6,3,02e4fd86
1130705000,6,4,fcee035c
1130715000,6,5,007bfdc3
1130725000,6,6,00d70058
1130735000,6,7,ffc90022
1130745000,6,8,ffcdff8e
1130755000,6,9,ffc10020
1130765000,6,10,0143004a
1130775000,6,11,fe80003a
1130785000,6,12,00970033
1130795000,6,13,ffc60003
1130805000,6,14,001effcb
1130815000,6,15,009affb9
1130825000,6,16,fe9bff9d
1130835000,6,17,0193008a
1130845000,6,18,fef5ff57
1130855000,6,19,ffee0044
1130865000,6,20,0140003a
1130875000,6,21,ff09ffb3
1130885000,6,22,00290148
1130895000,6,23,ff2dfe2c
1130905000,6,24,005700ac
1130915000,6,25,ffadffea
1130925000,6,26,000501c0
1130935000,6,27,ffd2fe58
1130945000,6,28,011b0047
1130955000,6,29,ffa2ff83
1130965000,6,30,ffc2033d
1130975000,6,31,01bcfd25
1136045000,7,0,ff90fefd
1136055000,7,1,01300094
1136065000,7,2,fda5fe22
1136075000,7,3,02570347
